uniquewords,Repetitions
ATTENTION,3
AUNT,3
AUTOCUE,3
AUTOMATIC,3
BAD-NOT,3
BALLROOM-DANCE,3
BARRIER,3
BEARD,3
BEAT-UP,3
BOMB,3
BOWL,3
BROWN,3
BUS,3
CANCEL,3
CHEQUE,3
CHERISH,3
CLEAN,3
CLEANER,3
CLL:CAMERA,3
CLOSE,3
CLSS:CHECKED-PATTERN,3
COFFEE,3
COLLEGE,3
COMMUNIST,3
CONFIDENTIAL,3
COURT,3
CUBS,3
DEGREE,3
DEMOLISH,3
DESIRE,3
DIRECTIONS,3
DISAGREE,3
DISCRIMINATE,3
DISNEY,3
DRUG,3
DSSFLAT,3
DSSSPHERE,3
ELECTRICITY,3
EMBARRASSED,3
EMOTION,3
ENDURE,3
EURO,3
EXPLOSION,3
FALSE,3
FILE-IN,3
FINAL,3
FREEZE,3
FRONT,3
FRUIT,3
FS:BBC,3
FS:BUS,3
FS:C-CANCER,3
FS:C-CLINIC,3
FS:DAYDY,3
FS:HULL,3
FS:INDECIPHERABLES,3
FS:M-MEMBER,3
FS:MSN,3
FS:P-PRIMARY,3
FS:Q-QUARTER,3
FS:SONSN,3
FS:T-THURSDAY,3
FS:T-TOO,3
FS:TA,3
FS:UNKNOWNORK,3
FUCK,3
G:CA:BEWILDERED,3
G:CA:DIZZY,3
G:CA:GESTURE,3
G:CA:HOLD-ARMS-DOWN,3
G:CA:HOLD-PERSON-BACK,3
G:CA:HOLD-STEERING-WHEEL,3
G:CA:HOLD-TICKET,3
G:CA:HOLD-TROPHY,3
G:CA:INSERT-TUBE,3
G:CA:MATADOR,3
G:CA:SHISHA,3
G:CA:SQUEEZES-HAND-TIGHTLY,3
GONE,3
GOOD ,3
GREEN,3
HANDSHAKE,3
HEAVY,3
HUNDRED,3
HUNDRED-FOUR,3
HUNDRED-THREE,3
HUNDRED-TWO,3
ICE-SKATING,3
INCOME,3
INDECIPERHABLE,3
INSTANT,3
JUMP,3
JUMP-FOR-JOY,3
KEEP,3
KNOCK-FOR-SIX,3
LAZY,3
LEAD,3
LECTURE,3
LIE,3
LOOK-GOOD,3
LOT-HEAVY,3
MADRID,3
MEMBER,3
METAL,3
MOVE-PIVOT,3
MUMPS,3
N:EIGHTY-TWOEIGHT,3
N:FIFTEEN,3
N:FIFTY-TWOFIVE,3
N:FIFTYFIVE,3
N:NINETEEN-EIGHTY-TWONINETEEN,3
N:NINETEEN-SIXTYNINETEEN,3
N:THIRTY-THREETHREE,3
N:TWENTY-FOURTWO,3
NATIONAL,3
NEXT-WEEK-THREE,3
NOT-GOOD,3
NURSERY,3
OCTOBER,3
ONE-MORE,3
OPEN-MINDED,3
ORDER,3
PACK,3
