time_stamp,word,frame,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
147,PT:PRO3SG,147,0.72782,1,-53.9113,-199.402,1350.16,0.0583337,0.730704,0.100274
148,PT:PRO3SG,148,0.804196,1,-53.4479,-195.896,1339.61,0.0917965,0.728331,0.0661355
149,PT:PRO3SG,149,0.817036,1,-53.7942,-197.299,1362.37,0.124326,0.720224,0.0317574
150,PT:PRO3SG,150,0.847465,1,-54.3653,-201.522,1400.12,0.156509,0.695699,0.000395873
151,,151,0.867054,1,-54.8999,-203.747,1422.57,0.173444,0.686435,-0.0230646
152,,152,0.869852,1,-55.1934,-204.546,1438.21,0.173938,0.693696,-0.0355004
153,,153,0.873321,1,-54.7563,-204.574,1441.8,0.16792,0.699871,-0.0388927
154,,154,0.883283,1,-54.9058,-203.538,1427.88,0.154209,0.707882,-0.0273685
155,,155,0.865925,1,-54.007,-199.897,1392.07,0.141587,0.72505,-0.0174954
156,,156,0.865568,1,-53.8527,-198.447,1375.1,0.127337,0.730207,-0.00633337
157,,157,0.871166,1,-54.6908,-199.225,1373.65,0.127633,0.731906,-0.00129219
158,,158,0.885285,1,-56.0429,-199.935,1377.44,0.126337,0.722675,0.00694587
159,,159,0.88748,1,-58.1231,-201.542,1390.76,0.125893,0.714058,0.0100533
160,,160,0.882339,1,-61.1911,-205.225,1414.92,0.110219,0.70941,0.0327462
161,,161,0.890012,1,-64.3241,-210.187,1421.49,0.0655967,0.705732,0.0696625
162,,162,0.877456,1,-66.0086,-212.859,1422.13,0.0546813,0.699225,0.0842751
163,,163,0.859558,1,-66.2387,-211.12,1425.11,0.078165,0.697645,0.068008
164,,164,0.84695,1,-66.0798,-205.87,1425.23,0.137041,0.692363,0.0197684
165,,165,0.865385,1,-66.5653,-201.598,1423.63,0.17622,0.68239,-0.0219238
166,,166,0.874182,1,-67.561,-201.831,1423.79,0.17598,0.689651,-0.0316497
167,,167,0.88595,1,-68.4477,-203.885,1418.27,0.153108,0.697366,-0.0163851
168,,168,0.878709,1,-69.4754,-206.687,1423.58,0.133334,0.697331,-0.000439941
169,,169,0.873054,1,-70.0787,-206.257,1420.82,0.146528,0.695231,-0.000528193
170,,170,0.837644,1,-70.9429,-204.637,1420.86,0.160035,0.687346,-0.00783429
171,,171,0.856194,1,-72.2604,-203.958,1421.63,0.162181,0.690577,-0.0138643
172,,172,0.878154,1,-73.5378,-204.988,1424.73,0.151583,0.693877,-0.00880836
173,,173,0.867528,1,-74.7428,-207.501,1432.46,0.134931,0.699382,0.00773693
174,,174,0.872089,1,-75.2606,-209.455,1441.58,0.123989,0.702142,0.0196526
175,,175,0.857095,1,-74.389,-209.751,1448.04,0.136546,0.698773,0.0150803
176,,176,0.832845,1,-72.6132,-208.764,1450.49,0.14206,0.695003,0.0116367
177,,177,0.826677,1,-70.6799,-209.069,1454.03,0.13859,0.697384,0.012374
178,,178,0.839873,1,-69.107,-209.733,1455.9,0.123476,0.696645,0.0217293
179,,179,0.82608,1,-67.6752,-208.809,1447.42,0.121347,0.698089,0.0281602
180,,180,0.83217,1,-67.0795,-208.105,1441.45,0.116674,0.700495,0.0338728
181,,181,0.83784,1,-66.7745,-207.47,1436.39,0.1132,0.700276,0.0365815
182,,182,0.855665,1,-67.248,-207.205,1434.74,0.109011,0.701156,0.041766
183,,183,0.851044,1,-67.889,-207.15,1434.71,0.105279,0.704057,0.0470537
184,,184,0.858243,1,-68.7236,-206.82,1433.94,0.101202,0.704359,0.0551932
185,,185,0.851261,1,-69.5061,-206.703,1435.24,0.0922347,0.703556,0.0659167
186,,186,0.851935,1,-70.3629,-206.757,1435.32,0.0900856,0.704313,0.0687983
187,,187,0.852374,1,-71.2403,-207.161,1434.46,0.0868707,0.702587,0.0773769
188,,188,0.844452,1,-72.0924,-207.644,1435.94,0.0759988,0.702081,0.0875848
189,,189,0.833748,1,-72.9699,-208.525,1440.46,0.0684632,0.701891,0.0945065
190,,190,0.831119,1,-73.4917,-208.674,1441.11,0.0656646,0.700309,0.0970069
191,,191,0.830631,1,-73.7614,-208.641,1440.22,0.0656322,0.701034,0.0986187
192,,192,0.829932,1,-74.0943,-209.149,1441.69,0.0649433,0.700729,0.0992308
193,,193,0.820469,1,-74.3309,-209.648,1443.57,0.0621853,0.697196,0.099193
194,,194,0.81796,1,-74.3593,-209.813,1442.57,0.0639613,0.699915,0.0979202
195,,195,0.814141,1,-74.3599,-209.879,1442.16,0.0616156,0.700514,0.098593
196,,196,0.808001,1,-74.5177,-210.025,1443.9,0.0616548,0.699437,0.0988094
197,,197,0.80926,1,-74.5808,-209.634,1444.42,0.0634591,0.698798,0.0993361
198,,198,0.812083,1,-74.4886,-209.611,1446.85,0.0634982,0.698875,0.100591
199,,199,0.822339,1,-74.1896,-209.705,1446.91,0.0580695,0.698038,0.102269
200,,200,0.833398,1,-74.0329,-210.091,1445.4,0.0550989,0.698039,0.103881
201,G:ERM,201,0.842355,1,-73.8234,-210.74,1445.08,0.0458322,0.696942,0.109921
202,G:ERM,202,0.84612,1,-73.5163,-211.334,1445.86,0.0391036,0.694969,0.113709
203,G:ERM,203,0.850983,1,-73.195,-211.338,1445.74,0.0401403,0.69742,0.113246
204,G:ERM,204,0.852044,1,-73.0222,-211.654,1446.79,0.034029,0.697805,0.120832
205,G:ERM,205,0.85588,1,-73.1353,-212.617,1444.83,0.0248224,0.698415,0.129499
206,G:ERM,206,0.869979,1,-73.3592,-214.36,1440.62,0.00308338,0.699747,0.143323
207,G:ERM,207,0.864149,1,-73.4875,-215.533,1431.9,-0.0268774,0.699688,0.165613
208,G:ERM,208,0.876536,1,-74.1834,-213.839,1420.1,-0.0396856,0.711694,0.18365
209,G:ERM,209,0.873207,1,-74.8477,-208.422,1400.26,-0.0398479,0.722772,0.192027
210,G:ERM,210,0.847752,1,-73.8224,-202.287,1369.12,-0.0350185,0.732987,0.190659
211,G:ERM,211,0.838601,1,-71.9981,-198.698,1342.2,-0.0462991,0.738441,0.195804
212,G:ERM,212,0.832798,1,-70.8683,-199.679,1340.26,-0.0625372,0.73282,0.208733
213,G:ERM,213,0.848469,1,-69.8077,-199.647,1342.52,-0.0669201,0.736383,0.213625
214,G:ERM,214,0.863853,1,-69.5836,-202.657,1375.71,-0.0365194,0.724314,0.191432
215,G:ERM,215,0.872385,1,-69.6758,-204.663,1398.96,-0.00636449,0.715693,0.166858
216,G:ERM,216,0.880482,1,-69.9028,-205.33,1405.03,-0.00724272,0.721407,0.164799
217,G:ERM,217,0.876708,1,-69.8313,-206.059,1404.8,-0.0188264,0.719932,0.17814
218,G:ERM,218,0.876414,1,-69.8272,-206.51,1406.99,-0.0208907,0.719937,0.18061
219,G:ERM,219,0.874589,1,-69.8388,-206.727,1412.26,-0.0134185,0.721472,0.176186
220,G:ERM,220,0.877931,1,-69.8592,-205.583,1409.07,-0.00310153,0.716632,0.168155
221,G:ERM,221,0.884348,1,-70.1659,-204.565,1404.15,0.00116943,0.715765,0.162593
222,G:ERM,222,0.887481,1,-70.7039,-204.528,1403.91,0.00435831,0.716431,0.162765
223,G:ERM,223,0.88782,1,-71.0868,-204.911,1406.7,0.00142227,0.717312,0.1677
224,G:ERM,224,0.889874,1,-71.1268,-205.005,1407.79,0.00443062,0.718206,0.169019
225,G:ERM,225,0.896027,1,-71.1204,-205.194,1409.34,0.00582271,0.718421,0.169138
226,G:ERM,226,0.895962,1,-71.27,-205.534,1411.63,0.00955455,0.719774,0.16941
227,G:ERM,227,0.900452,1,-71.3892,-206.198,1416.71,0.0122398,0.724927,0.167577
228,G:ERM,228,0.90253,1,-71.3618,-206.785,1420.79,0.0125096,0.727079,0.167816
229,G:ERM,229,0.902611,1,-70.9524,-207.828,1427.61,0.014629,0.730206,0.167657
230,G:ERM,230,0.903711,1,-70.1224,-208.454,1431.17,0.0109049,0.728631,0.172064
231,G:ERM,231,0.901933,1,-69.0811,-208.84,1432.05,0.0066557,0.72714,0.178788
232,G:ERM,232,0.905212,1,-68.0296,-208.372,1428.15,0.000333018,0.722506,0.190853
233,G:ERM,233,0.909454,1,-67.5104,-208.377,1428.17,-0.00693819,0.721246,0.198783
234,G:ERM,234,0.911859,1,-67.0079,-208.005,1426.22,-0.00959034,0.717304,0.206212
235,G:ERM,235,0.911954,1,-66.6809,-207.782,1424.59,-0.0131571,0.716518,0.213718
236,G:ERM,236,0.915893,1,-66.6097,-207.632,1421.77,-0.0186052,0.715158,0.220919
237,G:ERM,237,0.91378,1,-66.6971,-207.811,1420.91,-0.0242655,0.714189,0.226484
238,G:ERM,238,0.91273,1,-66.9486,-207.846,1419.44,-0.0302734,0.714877,0.234129
239,G:ERM,239,0.913182,1,-67.2532,-207.917,1418.93,-0.0308228,0.710629,0.235076
240,G:ERM,240,0.913395,1,-67.7679,-208.033,1417.37,-0.0363594,0.708474,0.238033
241,G:ERM,241,0.910273,1,-68.4813,-207.877,1415.61,-0.0397269,0.71051,0.241925
242,G:ERM,242,0.916484,1,-68.9583,-207.208,1410.29,-0.0404909,0.710515,0.242785
243,G:ERM,243,0.915436,1,-69.0651,-207.099,1409.15,-0.0393634,0.71235,0.240674
244,G:ERM,244,0.914455,1,-69.007,-206.984,1407.41,-0.0398496,0.71051,0.240776
245,G:ERM,245,0.909997,1,-69.0467,-207.834,1410.18,-0.0404168,0.708747,0.240018
246,G:ERM,246,0.914682,1,-68.5806,-208.813,1412.24,-0.0440219,0.705646,0.243418
247,G:ERM,247,0.909009,1,-67.957,-209.321,1412.14,-0.044492,0.705495,0.23901
248,G:ERM,248,0.907303,1,-67.1122,-209.719,1416.09,-0.0430446,0.7056,0.237968
249,G:ERM,249,0.908846,1,-66.0519,-210.357,1422.49,-0.0401882,0.704953,0.237274
250,G:ERM,250,0.912727,1,-64.3971,-210.964,1426.79,-0.0475147,0.703727,0.243617
251,,251,0.91143,1,-62.8745,-211.805,1432.2,-0.0522846,0.70305,0.248555
252,,252,0.910563,1,-61.4384,-212.59,1436.26,-0.0560022,0.700982,0.254188
253,,253,0.910032,1,-60.2802,-213.217,1439.64,-0.0647963,0.700747,0.263581
254,,254,0.91181,1,-59.2342,-213.787,1442.01,-0.0698558,0.701494,0.270313
255,,255,0.915218,1,-58.4087,-213.824,1440.77,-0.0770461,0.699531,0.277021
256,,256,0.917126,1,-57.7028,-213.424,1439.31,-0.0758094,0.698541,0.276972
257,,257,0.91484,1,-56.9178,-213.184,1440.61,-0.0683529,0.697512,0.272138
258,,258,0.920082,1,-56.5191,-212.969,1439.05,-0.0680657,0.697127,0.272399
259,,259,0.921436,1,-55.9294,-212.991,1432.15,-0.0782698,0.699512,0.281948
260,,260,0.920937,1,-55.9551,-213.559,1432.28,-0.081846,0.698593,0.285423
261,,261,0.920474,1,-55.7967,-212.146,1429.62,-0.0728247,0.697701,0.279879
262,,262,0.916477,1,-55.9674,-210.228,1426.37,-0.0636794,0.699562,0.268142
263,,263,0.913551,1,-56.0461,-208.657,1421.05,-0.0544054,0.702863,0.256124
264,,264,0.907354,1,-55.873,-207.553,1417.9,-0.0601526,0.701735,0.250371
265,,265,0.89992,1,-55.1035,-206.829,1413.1,-0.0723527,0.694914,0.252732
266,,266,0.881454,1,-53.3949,-205.199,1403.55,-0.0952271,0.68711,0.261705
267,,267,0.840631,1,-51.5711,-203.47,1397.73,-0.108271,0.686584,0.260954
268,,268,0.799362,1,-49.8353,-202.901,1403.1,-0.106919,0.683039,0.242237
269,,269,0.791067,1,-47.8853,-201.723,1404.25,-0.0913708,0.676011,0.21597
270,,270,0.793509,1,-46.1535,-200.121,1400.83,-0.0800031,0.664767,0.194914
