uniquewords,Repetitions
FS:OCTOBEROCT,2
FS:OFF,2
FS:OMAGHOMG,2
FS:OMAGHOMGH,2
FS:P-PRIMARY,2
FS:RED,2
FS:REDERICK,2
FS:RODDY,2
FS:ROYAL,2
FS:S,2
FS:SASLIC,2
FS:SUFFOLK,2
FS:T,2
FS:T-TERMINAL,2
FS:TEACHERTEACH,2
FS:TERMINALTERMIN,2
FS:THURSDAYTH,2
FS:TONY,2
FS:TOO,2
FS:TOTOO,2
G:CA:CARRY-TRAY,2
G:CA:CRADLE-BABY,2
G:CA:GIVE-BOWL,2
G:CA:GRAB-PERSON,2
G:CA:HAND-RESTS-ON-STOMACH,2
G:CA:HOLD-CUP,2
G:CA:HOLD-DRINK,2
G:CA:HOLD-MONEY-UP,2
G:CA:HOLD-TROPHY,2
G:CA:MATADOR,2
G:CA:MODEL-JUMPER,2
G:CA:PARALYSED,2
G:CA:POUR-DRINK,2
G:CA:PUTTING-ARMS-AROUND-SOLDIER,2
G:CA:RESTING-HANDS,2
G:CA:SHAKES-TOP-TO-COOL-DOWN,2
G:CA:SWEATING-ON-FACE,2
G:CA:TAKE-SHOT,2
G:OVER-TO-YOU,2
G:REARING-TO-GO,2
GET-OFF,2
GOALKEEPER,2
GOLD,2
GOOD-ENOUGH,2
GOSSIP,2
HISTORY,2
HOTEL,2
HUG,2
HUMANS,2
IMPORTANT,2
INCOME,2
INTERPRETER,2
INTERVAL,2
INTRODUCE,2
JAMAICA,2
JEALOUS,2
JUMP-FOR-JOY,2
JUMPER,2
LBUOY-FOUR,2
LBUOY-ONE,2
LEFT-SIDE,2
LIGHT-WEIGHT,2
LIKE-NOT,2
MARCH-MONTH,2
MENINGITIS,2
MILLION,2
MOW,2
MUSLIM,2
N:ZERO,2
NEXT-WEEK,2
NICE,2
NURSERY,2
OF-COURSE,2
OPEN-DOOR,2
OPEN-WINDOW,2
OUT,2
PARADE,2
POLICE,2
POOR,2
PRACTISE,2
PT:BUOY,2
PT:LOCPL,2
QUARTER,2
RANKING-THREE,2
REALLY,2
RELIEF,2
ROYAL,2
SAD,2
SAFE,2
SEND,2
SEVENTEEN,2
SING,2
SIXTEEN,2
SKY-TV,2
SN:BETTYFS:B-BETTY,2
SN:BLACKBURNBLACK,2
SN:MOTHERWELLFS:M,2
