duration,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
11.875,0.86936425,0,0.8627005,0,0,0.57637325,0,0,0.4263535,0,0.328493,0.599701,1.03436,0,0.5,0.5,0,0,0,0
20.75,0.30692025,0.52337175,0.1804275,0.339425,0.40536625,0,0.54233225,0.658318,0.6695895,0,0,0.51616625,1.194932,0,0,0.75,0.5,0.5,0,0
15.5,0.531333,0.7527325,0,0.43084525,0,0.38222575,0,0,0.6968015,0.32325225,0,1.011861,0,0,0.5,0,0,1,0,0
22.2307692307692,0.8909855,0,1.13034,0,0,0.590029,0,0,0,0.6075135,0,1.12782,0.72852,0,0,0,0,0,0,0
6.88888888888889,1.065405,0.790821,1.076045,0,0,0.590368,0.274321,0,1.14896,0,0,0,0,0,0,1,1,0,0,0
10.9615384615385,0.5497565,0.6551815,0.5177595,0,0,0.3241895,0,0,0.477947,0,0.55244725,0.739964,0.6565945,0,0,1,0,0,0,0
8.88679245283019,0.44696,0.50589,0.518223,0,0,0,0,0.285333,0,0,0,0.6987485,1.192765,0,0,0,1,0,0,0
18.6,0,0.528091,0,0,0,0.340722,0.261325,0.659319,0.857802,0.510962,0,0.806578,1.29152,0,0,0,1,0,0,0
10.375,0.5943375,0.3721235,0.53562,0,0,0.1418325,0,0,0,0,0,0.19180575,1.13267,0,0,0,0,0,0,0
24.7368421052632,0,0,0,0.663012,0,0,0,0,0.411289,0,0,0.564151,0.885337,0,0,0,0,0,0,0
16.7142857142857,0,0,1.51027,0,0,0.79857,0,0,0.927928,0,0.2555425,0,0.855958,0.2738085,1,0,1,0,0,1
38,0.9824595,0.2722025,0.7707785,0.5112145,0.57937625,0.5716025,0.46864525,1.12310025,0.97164175,0,0,0,1.4931325,0,0,1,0.25,0.25,0,0
18.4444444444444,0.9226735,0.712381,0.698461,0,0,0,0,0,0.7389375,0.8754265,0.6225375,0,0.6534415,0,0,0,0.5,1,0,0
6.5,0.81230875,0.404543,0.75390975,1.30239,0,0,0,0.12932125,0,0,0,0.623953,0.4259135,0,1,0,0,0,0,0
41.6666666666667,0.791068,0,0,0,0,0.5163745,0,0,0,0.64099,0,0,0,0,0,0,0,1,0,1
45.75,0.8069295,0.6682135,0.355449,0,0,0.3995105,0,0,0,0,0,0,1.461245,0,0,0,0,1,0,0
11.6666666666667,0,0,0,0,0,0.9397645,0,0,0,0,0,0,0.3113575,0,0,0,0,0,0,0
11.0909090909091,1.11137,0.78863,0.762357,0.586792,0,0.543563,0,0.52909,0,0.783194,0,0,0.674503,0,0,0,0,0,0,0
17,0.79129325,0.52699425,0.40785225,0.90266,0,0.32309475,0.154798,0,1.3660975,0,0.1922395,0.401779,0.850335,0,0.25,0.25,0.25,0.5,0,0
8.4,0.67674,0.2699855,0.8604455,0.57517,0.398951,0.7169595,0.327471,0.558155,1.476835,0,0,0,1.588945,0,0.5,0.5,0,0,0,0
2,0.7095225,0.273891,1.377305,0,0,1.684825,0,0.251383,0,0.5529375,0,1.208925,0.3213295,0,1,0,0,0,0,1
18.2666666666667,0.5678535,0.282446,1.001757,0.307081,0.2564855,0.278038,0.324636,0.6399245,0.295102,0,0.273824,0,0.6128625,0,0,1,0,0,0,0
10.25,0.8702835,0.6326405,1.101115,0,0,0.541211,0,0,0.3148525,0,0.447608,0.25928925,0.9481485,0,0,0.25,0,0.5,0,0
3.5,0.4184275,0,0.47492,0.1941735,0,0,0.418674,0.83016825,1.331185,0,0.5348,0.80628375,2.6259375,0,0.25,0.75,0.75,0,0,0
21.84,0.679825,0.556821,0.2760285,0,0,0.572513,0,0,0,0,0,0.254459,1.598145,0,0,0,0.5,0.5,0,0
11.7894736842105,1.16288,0.87186,0.747935,0.6730325,0,0.584,0,0.304653,0,0.3314045,0,0.519427,0.959915,0,0,0.5,1,0,0,0
15.7857142857143,0.9942765,1.30097,1.1883975,0.13355925,0.13392625,1.4790575,0,0,0.6328925,0,0.617889,0.1326825,0.947562,0,0.75,0.5,0,1,0,0
11,0,0.49719,0.293968,0.34995,0.2944245,0.3261895,0.503825,0.417261,0.83103,0,0,0,0,0,0.5,1,0,0,0,0
23.8,0.8542815,0,0.6342625,0.2510155,0,0.326434,0,0,0,0.4564265,0,0.4261225,0.814757,0,0,0,0,0,0,0
48,1.07579,0.3056,0,0.9939215,0,0.998026,0,0,0,0.773833,0,0,0,0.5488265,0,0,0,1,0,0.5
28.3333333333333,0,0.7367765,0,0,0,0,0,0,0.269356,0,0,0.4032725,1.100235,0,0,0,0,1,0,0
17.5,1.0787275,0.229158,0,0.2737225,0,0.57648175,0,0,0.28423,0.3779485,0.44891175,0.422956,1.735235,0,0.25,0.5,0.5,0.5,0.5,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,0,1.31266,0,0,0,1.6629,0,0,0,0.639678,0,0,1.57354,0,1,1,0,1,0,0
10.9411764705882,0,0,0,0,0,0,0,0.717896,0.711247,0,0,1.0725125,0.983384,0,0,0,0,0,0,0
39,0.962915,0,0,0,0,0,0,0,0,1.2772,0.770608,1.12115,0,0,0,0,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.8,0.5975525,0.341964,0,0.268065,0,0.23723,0,0.280185,0,0,0,0.751024,2.343855,0,0,0.5,0,0,0,0
7.33333333333333,0,0.2520445,0,0,0,0.3113255,0.4317475,0.67191,1.16274,0,0,0.674931,2.068275,0,0,1,1,0,0,0
21.2,0.5745625,0.250999,1.14853,0,0,0.292983,0,0,0.312117,0,0.6174575,0.56063,1.35538,0,1,0,1,0.5,0,0.5
7,1.009692,1.06507,1.40244,0,0.806945,1.530255,0.688686,1.04637,1.175969,0,0,0.2958795,2.800775,0,0,1,0,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.5,0.302492,0.4156115,0.12946025,0.13966575,0,1.27059,0.355909,0.526405,0.4472555,0,0,0.765905,2.5706925,0,0,1,0.5,0,0,0
27.3333333333333,0.7566675,0.4119985,0,0.795925,0,0.6365125,0,0.405318,0,0,0,0,0.7248415,0,0,0.5,1,0,0,0
45.75,0,0.328444,0.304451,0.26825375,0.26792775,0.2785275,0.2616875,0.46833025,0.9255825,0,0,0,0.3371815,0,0.5,0.5,0,0.5,0,0
25,0.628658,0.9761785,1.840384,0.343975,0.362308,1.1187045,0,0.730555,0.69359,0.909092,0.601625,0,1.881225,0,0.5,0,1,1,0,0.5
24.1666666666667,0.305378,0,0.3375085,0.266694,0.36303,0.6565375,0.70729025,0.7343865,1.0607585,0,0,0,0.715232,0,0,1,0,0.5,0,0
6,1.458658,2.038205,0.732469,0.64711475,0,0.5724475,0.279269,0.45080375,0,0,0.312095,1.2104625,0.81945275,0,0,0,0.75,0.25,0.25,0.5
18.2,0.5870985,0.803306,1.0871395,0,0,0,0,0,0.68534,0,0.686934,0.8768865,0,0,0.5,0,1,0,0,0
29,1.65026,0,0,0,0,1.55856,0,0,0,0.646946,0.929754,0,0.663845,0,1,0,1,1,0,1
31.2222222222222,0.5627,0,0,0,0.932874,0.510488,0.967792,1.152185,1.201195,0,0,0,0.336697,0,0,1,0,0,0,0
21.3333333333333,0.22449325,0.73579375,0,0.6790915,0,0.21694125,0.16084,0.884919,0.64842025,0.14813,0.1440415,1.0606275,1.459035,0,0,1,0.75,0.75,0,0
4,0.67942,1.65214575,0.587832,0.5424105,0.5071145,0.35104725,0.432591,0.712573,0.62701,0,0.3083885,1.3825615,0.3146525,0,0,0.5,0.75,0.75,0,0.25
