uniquewords,Repetitions
USE,5
VERY,5
WAR,5
ABOUT,4
ACCEPT,4
AGE-EIGHT,4
AGE-TWELVE,4
AIM,4
ALL-THE-TIME,4
APPLAUD,4
APPROXIMATE,4
AUDIENCE,4
BICYCLE,4
BITTER,4
BLOOD,4
BREAK,4
CAREFUL,4
CERTIFICATE,4
CHAMPION,4
CHARGE,4
CHEAT,4
CLEVER,4
CLOSE-SHUT,4
CLSS:DRESS,4
COCKTAILS,4
COLLECT,4
COMPETITION,4
CONFUSE,4
COUNTRY,4
COVER,4
CREATE,4
CRY,4
DIRTY,4
DOLPHIN,4
DRAW,4
DROP-DOWN-MENU,4
EAGER,4
EARLY,4
ENJOY,4
EVALUATE,4
EXCHANGE,4
EXPAND,4
EYE,4
FACELIFT,4
FAX,4
FS:A,4
FS:B-BRITISH,4
FS:B-BUTLINS,4
FS:B-UNKNOWN,4
FS:BETTY,4
FS:BUSBS,4
FS:C-UNKNOWN,4
FS:DEVON,4
FS:F-FRANK,4
FS:FOR,4
FS:G-GOAL,4
FS:GCE,4
FS:GK,4
FS:H-HENRY,4
FS:IF,4
FS:INDECIPHERABLEM,4
FS:INTERIM,4
FS:J-JANUARY,4
FS:KENT,4
FS:KERRY,4
FS:LYME,4
FS:M-MONDAY,4
FS:MAY,4
FS:MELA,4
FS:P-PLYMOUTH,4
FS:P-POUND,4
FS:S-SOUTHAMPTON,4
FS:S-UNKNOWN,4
FS:SADDAM,4
FS:SECRETARYSC,4
FS:SO,4
FS:TOO,4
FS:W-WEBSTER,4
G:CA:CLAWS-POISED,4
G:CA:FOSSILS,4
G:CA:HOLD-CUP,4
G:CA:HOLD-PAINT-TIN,4
G:CA:LOOK-CONFUSED,4
G:CA:POUR-FROM-BUCKET,4
G:CA:PUSH-WHEELCHAIR,4
G:CA:SIT-BACK,4
G:CA:STICKY-SUBSTANCE-ON-HANDS,4
G:CA:THROW-BALL,4
G:CA:TIGHT-SQUEEZE,4
G:CA:ZOMBIE,4
G:EXCLAIMATION,4
G:TOUCHED,4
GAY,4
GHOST,4
GLOVES,4
GREEDY,4
HANG,4
HATE,4
IMPROVE,4
INJECTION,4
INTUITION,4
JEALOUS,4
KITCHEN,4
LAST-WEEK-TWO,4
LEAGUE,4
LIE-DOWN,4
LOOK-AROUND,4
MARRY,4
MEDALLION,4
MISS,4
MULTIPLY,4
N:FIVE,4
N:FOUR,4
N:NINETEEN-EIGHTY-NINENINETEEN,4
N:SEVENTY-EIGHTSEVEN,4
N:SIXTY-ONESIX,4
N:TEN,4
N:THIRTYTHREE,4
N:TWENTY-ONETWENTY,4
NAILBRUSH,4
NEWS,4
NUMBER-NINE,4
OPEN,4
PAINT,4
PARADE,4
PIVOT,4
POPULAR,4
PRIEST,4
PROJECT,4
PT,4
PT:POSS1PL,4
PT:PRO3SL,4
PT:TBUOY,4
QUIET,4
REPLACE,4
ROYAL,4
SAND,4
