uniquewords,Repetitions
LANGUAGE,4
LONELY,4
LOVE,4
MISERABLE,4
MIX,4
MOBILE-PHONE,4
MORE,4
N:NINETEEN-EIGHTY-NINENINETEEN,4
N:SEVENTY-EIGHTSEVEN,4
N:THIRTYTHREE,4
NUMBER-NINE,4
OFFICE,4
PAYMENT,4
PLACE,4
POPULAR,4
PROJECT,4
RESPECT,4
SAFE,4
SATURDAY,4
SCORE-BASKET,4
SERVICE,4
SHAKESPEARE,4
SIGHT,4
SLOVAKIA,4
SMOOTH,4
SN:DAVID-BECKHAMFS:D-DAVID,4
SN:DOVERFS:D-DOVER,4
SN:LIGHT-BAREMIT,4
SN:YEN,4
SOUTH,4
STILL,4
STRAWBERRY,4
TALL,4
TENT,4
THIS-TIME-SPAN,4
TWELVE,4
WALK-AROUND,4
WARN,4
WONDER,4
WORRY,4
ACCOMMODATION,3
AGE,3
AGE-EIGHT,3
AGE-SIX,3
ARRANGE,3
ART,3
ASSESS,3
BELFAST,3
BLUE,3
BRING,3
BRISTOL,3
CALL,3
CHERISH,3
CLM:PERSON-MOVE,3
CLSS:CHECKED-PATTERN,3
CONFUSE,3
COUSIN,3
CRASH,3
CUBS,3
CUT-OFF,3
DEPRESSED,3
DIRECTIONS,3
DSSSPHERE,3
EAT,3
ENOUGH,3
EURO,3
EXPECT,3
FLAT,3
FORWARD,3
FS:AUGUSTAUG,3
FS:BUS,3
FS:S-UNKNOWN,3
FS:T-THURSDAY,3
FS:T-UNKNOWN,3
FS:UNKNOWNORK,3
G:CA:DIZZY,3
G:CA:HOLD-PERSON-BACK,3
G:CA:HOLD-TICKET,3
G:CA:SHISHA,3
GESTURE,3
GOOD-ENOUGH,3
HUNDRED,3
IDEA,3
INATTENTION,3
INFORM,3
JUMP,3
LAST-WEEK,3
LEFT,3
MADRID,3
MANAGE,3
MANCHESTER,3
N:EIGHTY-TWOEIGHT,3
N:NINETEEN-EIGHTY-TWONINETEEN,3
N:THREE,3
N:ZERO,3
NATIONAL,3
NEXT-WEEK-THREE,3
NOT-GOOD,3
ONE-IS-BEHIND,3
PARK,3
PIVOT,3
PORTER,3
PRIEST,3
PT:LOCPL,3
RIVER,3
SEVENTEEN,3
SHOP,3
SIMILAR,3
SIT,3
SN:CHRISFS:C-CHRIS,3
SN:DIMITAR-BERBATOVFS:D-DIMITAR,3
SN:FULHAMFS:F-FULHAM,3
SN:HORROWELLFS:H-HORROWELL,3
SN:MIDDLESBROUGH,3
SN:MIDLANDSCENTRE,3
SN:WAYNEFS:W-WAYNE,3
SPAIN,3
STRAIGHT,3
STRICT,3
SWITCH-BBC,3
TEA,3
TEMPT,3
THEORY,3
THERE,3
TICKET,3
TIME-RUN-OUT,3
TOILET,3
TRUE-UNSURE,3
USELESS,3
WALES,3
WEEK-FOUR,3
WELL,3
WHALE,3
WOMAN,3
ACHIEVE,2
AGE-FIVE,2
AGREE ,2
AIM,2
ALCOHOLIC,2
ALL-THE-TIME,2
AMAZED,2
AMBIENCE,2
ARGUE,2
AROUND,2
AUDIENCE,2
AUSTRIA,2
AVOID,2
AWARD,2
BACK-BODY,2
BACKWARD,2
BANK,2
BEACH,2
BEAR,2
BIRTHDAY,2
BLIND,2
BLONDE,2
BORING,2
BOTTLE,2
BY,2
CAMERA,2
CAREFUL,2
CASTLE,2
CITY,2
CLEAN,2
CLL:CAMERA,2
CLL:GOAL,2
CLOCK-INTERVAL,2
CLSS:CROWD,2
CLSS:DISTANCE,2
CLSS:HAIR,2
CLSS:PATH,2
CLSS:STREET,2
COLD,2
COLLISION,2
COMFORTABLE,2
COMMENT,2
COMMUNICATE,2
COMPETTION,2
CRAM,2
CUP,2
DEEP,2
DEGREE,2
DEMOLISH,2
DISAPPOINT,2
DISCRIMINATE,2
DONCASTER,2
DOUBLE,2
DSEW,2
ELECTRICITY,2
EMOTION,2
END,2
ENDURE,2
ENQUIRE,2
EXPERIENCE,2
EXPRESSION,2
EYE,2
FAR,2
FENCE,2
FS:ACE,2
FS:ANTONIA,2
FS:ASTON,2
FS:AYR,2
FS:B-BRONZE,2
FS:B-UNKNOWN,2
FS:BE,2
FS:BID,2
FS:BRATISLAVA,2
FS:C-CANCER,2
FS:C-CLAPHAM,2
FS:C-CLUB,2
FS:C-UNKNOWN,2
FS:CANARYCARNARY,2
FS:CASTLECASTE,2
FS:CATS,2
FS:CHRISTINACHRSTINA,2
FS:CLAY,2
FS:CLOT,2
FS:COVENTRYCV,2
FS:D-DANIEL,2
FS:DALLY,2
FS:DARBY,2
FS:DEAF,2
FS:DECEMBERDC,2
FS:DEVONDON,2
FS:DEVONDVN,2
FS:DONALDSONS,2
FS:FEBRUARYFB,2
FS:FEBRUARYFEB,2
FS:FOR,2
FS:FORR,2
FS:G,2
FS:G-GUINNESS,2
FS:G-UNKNOWN,2
FS:GALA,2
FS:GAS,2
