uniquewords,Repetitions
CLM:JOINT-MOVE,1
CLM:OBJECT-GIVE-WAY,1
CLM:VEHICLE-MOVE,1
CLOCK,1
CLOSE-SHUT,1
CLOTHES,1
CLSS:BECOME-THIN,1
CLSS:FLAT-STOMACH,1
CLSS:OBJECT,1
CLSS:PART-HANGING-OFF,1
CLSS:PLATE-STAND,1
CLSS:POTHOLE,1
CLSS:SCONES,1
CLSS:TWO-TIER-PLATE-STAND,1
COBBLES,1
COLOUR,1
COMFORTABLE,1
COMPANY,1
CONTEXT,1
CONTROL,1
CORNWALL,1
COUNCIL,1
CRAP,1
CRITICISE,1
CULTURE,1
CUTE,1
DANGER,1
DANGEROUS,1
DEAF ,1
DEAF-CLUB,1
DECIDE,1
DEGREE,1
DEMOLISH,1
DESIRE,1
DISCONNECT-UNLINK,1
DISTRACT,1
DOWNHILL,1
DRAWER,1
DRUG,1
DSEWFLAT-MOVE,1
EGYPT,1
EIGHTEEN,1
ENTITLEMENT,1
EVALUATE,1
EXACT,1
EXCHANGE,1
EXHAUSTED,1
EXPECT ,1
EXPERIENCE,1
EXTINGUISH-LIGHT,1
EYE,1
FALSE-STARTINDECIPHERABLE,1
FAR,1
FARM,1
FAULT,1
FIRST,1
FOLD-OUT-BED,1
FORMAL,1
FRANCE,1
FRIGHTENED,1
FRUIT,1
FS:A-AVOCADO,1
FS:ADVERTAD,1
FS:ADVERTADV,1
FS:AGM,1
FS:AID,1
FS:AIDS,1
FS:ALL,1
FS:B-BE,1
FS:BANK,1
FS:BARRY,1
FS:BOB,1
FS:BRATISLAVABRATALAVIA,1
FS:BUTET,1
FS:BY,1
FS:C-CAPTAIN,1
FS:C-CEREMONY,1
FS:C-COBBLES,1
FS:CAVE,1
FS:CLINIC,1
FS:COLIN,1
FS:COLINCOL,1
FS:COOK,1
FS:D,1
FS:DOCTORDR,1
FS:DOCUMENTARYDOC,1
FS:DRAMA,1
FS:DRUG,1
FS:DWEK,1
FS:FAT,1
FS:FIJI,1
FS:FRANK-BARNESF,1
FS:GELDOF,1
FS:GOTHIC,1
FS:H-HOLLY,1
FS:H-HONEY,1
FS:H-UNKNOWN,1
FS:HULL,1
FS:I,1
FS:ICELAND,1
FS:ICELANDLCE,1
FS:ILAN,1
FS:INDECIPHERABLEDHE,1
FS:INDECIPHERABLEEA,1
FS:INDECIPHERABLEWF,1
FS:J-INDECIPHERABLE,1
FS:JENNY,1
FS:JESSOPS,1
FS:KATONA,1
FS:LAW,1
FS:LIPOSUCTION,1
FS:MAFIA,1
FS:MAORIMAROI,1
FS:MSC,1
FS:N-INDECIPHERABLE,1
FS:NHS,1
FS:NICK,1
FS:OMAN,1
FS:OTT,1
FS:P,1
FS:P-PARADISE,1
FS:P-PHD,1
FS:P-PRIMARY,1
FS:PALERMO,1
FS:PAULA,1
FS:PHD,1
FS:PHILIP,1
FS:ROOM,1
FS:RUSTY,1
FS:S-SAND,1
FS:S-SON,1
FS:S-STRANGER,1
FS:S-SYNDROME,1
FS:S-UNKNOWN,1
FS:SARDINA,1
FS:SCONES,1
FS:SICILY,1
FS:SICILYSCL,1
FS:SPA,1
FS:T-TAMWORTH,1
FS:TERRY,1
FS:THOMSONTOMSON,1
FS:TOO,1
FS:TOWN,1
FS:V-VICTORIA,1
FS:V-VILLAGE,1
FS:VSHED,1
FS:W-WAARDENBURG,1
FS:X,1
FS:YATES,1
G:CA:ABLE-TO-MOVE,1
G:CA:ACHING-HANDS,1
G:CA:ARM,1
G:CA:BEWILDERED,1
G:CA:BREATHES-HEAVILY,1
G:CA:CHECK-NECK,1
G:CA:CONSIDER,1
G:CA:EXAMINE-SOMEONE,1
G:CA:EXCLAIM,1
G:CA:FIX-HAIR,1
G:CA:FOLD-ARMS,1
G:CA:FORMAL-POSE,1
G:CA:GESTURE-TO-PERSON,1
G:CA:GRAB-HOLD-OF-PERSON,1
G:CA:GRAB-WHEELCHAIR,1
G:CA:HAND-OUT-FOOD,1
G:CA:HANDLE-FOOD,1
G:CA:HAVE-ARMS-RESTRAINED,1
G:CA:HIDE-EYES-IN-FEAR,1
G:CA:HOLD-AND-INSERT-MONEY,1
G:CA:HOLD-BOOK,1
G:CA:HOLD-CIGARETTE-PACKET,1
G:CA:HOLD-HAND-TO-FACE,1
G:CA:HOLD-MOTORBIKE,1
G:CA:HOLD-OBJECT-DOWN,1
G:CA:HOLD-OJBECT,1
G:CA:HOLD-PLATE,1
G:CA:HOLD-REMOTE-CONTROL,1
G:CA:HOLD-SCOOTER,1
G:CA:HOLD-SOMETHING,1
G:CA:HOLD-SOMETHING-DOWN,1
G:CA:HOLD-TROPHY,1
G:CA:HOLD-TUBE,1
G:CA:INDECISIVE,1
G:CA:INJECT,1
G:CA:LIGHT-CIGARETTE,1
G:CA:LOOK-AROUND,1
G:CA:LOOK-IN-CURIOUSITY,1
G:CA:LOOK-OF-DISBELIEF,1
G:CA:LOOK-SURPRISED,1
G:CA:ON-LAPTOP,1
G:CA:OPEN-DOOR,1
G:CA:OPERATE-RADIO-CONTROLLER,1
G:CA:PERSON,1
G:CA:PRETENDS-TO-YAWN,1
G:CA:PULL-BACK-FACE,1
G:CA:PULL-PERSON-UP,1
G:CA:PUT-ARM-THROUGH,1
G:CA:PUT-CIGARETTE-IN-MOUTH,1
G:CA:RECOIL-IN-DISGUST,1
G:CA:RIDE-JET-SKI,1
G:CA:RIDE-SCOOTER,1
G:CA:SCRAPE-SOMETHING,1
G:CA:SHAKES-HEAD,1
G:CA:SHRUGS,1
G:CA:SIT-AND-WAIT,1
G:CA:STAGGER-ABOUT,1
G:CA:STAND-STILL,1
G:CA:STANDING-STILL,1
G:CA:STAPLE,1
G:CA:STEADY-SELF,1
G:CA:STILL,1
G:CA:SWITCH-CAMERAS-ON,1
G:CA:TAKEN-ABACK,1
G:CA:TERRIFIED,1
G:CA:TURN-PAGE,1
G:CA:TURN-PERSON,1
G:CA:WAITING,1
G:CA:WAVE-FLAG,1
G:TOUCHED,1
GENERAL,1
GET,1
GINGER,1
GIVE-INFORMAITON,1
GIVE-INFORMATION  ,1
GOSSIP,1
HAIR,1
HAIRBRUSH,1
HAND-OVER,1
HANDS,1
HELLO,1
HERD,1
HOLLAND,1
HOTEL,1
HUNGARY,1
IDEA,1
ILL,1
IMAGINE,1
IMPORTANT,1
IMPROVE,1
INDECIPHERABLEMOVE,1
INDECIPHERABLETHING,1
INFORM,1
INSTANT,1
INVITE,1
IRELAND,1
ISRAEL,1
JEALOUS,1
JOKE,1
JUMP-FOR-JOY,1
KEEP,1
KITCHEN,1
KNOW-NOT ,1
LAPTOP,1
LAST-WEEK,1
LAST-WEEK-FOUR,1
LAST-WEEK-THREE,1
LAST-YEAR-TWO,1
LEAGUE,1
LETTER,1
LIE,1
LINE,1
LONG-HAIR,1
LOOK-GOOD,1
LOOK02,1
LOSE,1
MARCH-MONTH,1
MATCH,1
MATHS,1
MERGE,1
MILLION,1
MISERABLE,1
MOBILE-PHONE,1
MORE,1
MOTORWAY,1
MUSLIM,1
N:EIGHT,1
N:FORTY-FIVEFOUR,1
N:FOUR,1
N:TWENTY-FIVETWO,1
NASTY,1
NAUGHTY,1
NEAR,1
NINETY-SEVENNINE,1
NORMAL,1
NURSE,1
OPPOSITE,1
PAGE,1
PAYMENT,1
PENCE-THREE,1
PENGUIN,1
PERIODIC-PAST,1
PERSONAL,1
PLEASE-ONESELF,1
PLENTY,1
POLAND,1
PORTSMOUTH,1
POSTER,1
PREGNANT,1
PRETEND,1
PRISON,1
PRIVATE,1
PT: ,1
PT:BUOY,1
PT:LOC ,1
PT:POSS3SG1,1
PT:PRO,1
PT:PRO03,1
PUB,1
PUT-UP-WITH,1
QUEUE,1
RANKING-THREE,1
REAMS,1
RECEIVE,1
RED,1
REFLECTION,1
REFUSE,1
REST,1
REVIEW,1
ROAD,1
ROMAN,1
ROW,1
RUGBY,1
SACK,1
SAND,1
SATELLITE,1
SELL,1
SERVICE,1
SEVEN,1
SHOP,1
SIGHT,1
SIZE,1
SKIP,1
SLAP,1
SMILE,1
SMOOTH,1
SN:ADDAMS,1
SN:ALEXFS:A-ALEX,1
SN:BARRY-INDECIPHERABLEFS:B-BARRY,1
SN:BOB-GELDOFFS:B-BOB,1
SN:BRIAN-MCFADDENFS:B-BRIAN,1
SN:CHRISFS:C-CHRIS,1
SN:COLIN,1
SN:HARD-ROCKHARD,1
SN:HARD-ROCKTOUGH,1
SN:HELLOHELLO,1
SN:INDECEIPHERABLEFS:INDECIPHERABLEEF,1
SN:INDECIPHERABLEFS:INDECIPHERABLE,1
SN:INDECIPHERABLEFS:INDECIPHERABLEE,1
SN:INDECIPHERABLEFS:INDECIPHERABLEJT,1
